date,open_,high,low,close_,volume_btc,volume_currency,weighted_price
2011-12-31,4.465,4.4825,4.465,4.4825,23.829469525,106.330084387325,4.471602874575
2012-01-01,4.806666666666667,4.806666666666667,4.806666666666667,4.806666666666667,7.200666666666667,35.259719999999994,4.806666666666667
2012-01-02,5.0,5.0,5.0,5.0,19.048,95.24,5.0
2012-01-03,5.2524999999999995,5.2524999999999995,5.2524999999999995,5.2524999999999995,11.004660115,58.10065118825,5.2524999999999995
2012-01-04,5.2,5.223333333333334,5.2,5.223333333333334,11.914806692222223,63.11957749717778,5.208159313655555
2012-01-05,6.281428571428571,6.286190476190476,6.281428571428571,6.286190476190476,4.514372821904762,27.987369843466666,6.2841271510761905
2012-01-06,6.4350000000000005,6.445,6.4350000000000005,6.445,2.4201961935714285,15.914658503171427,6.438999047607143
2012-01-07,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8
2012-01-08,6.95,6.95,6.95,6.95,2.5,17.3,6.95
2012-01-09,6.5841666666666665,6.5841666666666665,6.581666666666667,6.581666666666667,1.8574811916666667,12.306797769944446,6.582769666666667
2012-01-10,6.603,6.603,6.603,6.603,2.0763326726666667,13.773469480709998,6.603
2012-01-11,7.119583333333334,7.121875,7.119583333333334,7.121875,2.1949777920833333,15.4794086490125,7.1206848423375
2012-01-12,7.0625,7.0625,7.0625,7.0625,6.8584693175,49.8384692525,7.0625
2012-01-13,6.96875,6.9840625,6.940625,6.960312500000001,1.5303170262499999,10.77929233245,6.96923652441875
2012-01-14,6.42,6.42,6.409999999999999,6.409999999999999,1.6835999999999998,10.84868,6.414081197580001
2012-01-15,7.15,7.15,7.15,7.15,3.33986014,23.880000001000003,7.15
2012-01-16,6.714285714285714,6.714285714285714,6.714285714285714,6.714285714285714,1.8070422528571428,12.392857138142856,6.714285714285714
2012-01-17,6.154166666666666,6.154166666666666,6.141666666666667,6.141666666666667,3.354750343333334,20.558574523708334,6.1483461580375005
2012-01-18,6.239166666666667,6.246944444444445,6.236944444444444,6.244722222222222,3.7068546977777777,22.80368339188889,6.240688438936111
2012-01-19,6.225714285714285,6.225714285714285,6.225714285714285,6.225714285714285,17.62255849642857,110.15865905642856,6.225714285714285
